Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,106.76,142.69,4.853,-0.33367,1.800e-2,0.0276,0.0084,3900.444,2.117e-4,2.117e-4,2.117e-4,0_10:5.539e-3; 0_1:1.009e-2,0_10:312.889; 0_1:398.222
Q1,93.86,142.06,5.004,-0.33072,2.420e-2,0.0338,0.0146,3900.444,2.945e-4,2.945e-4,2.945e-4,1_2:1.545e-2; 1_0:1.009e-2,1_2:476.444; 1_0:433.778
Q2,63.86,88.81,5.146,-0.32763,2.360e-2,0.041,0.0062,3900.444,3.903e-4,3.903e-4,3.903e-4,2_3:8.116e-3; 2_1:1.545e-2,2_3:270.222; 2_1:512
Q3,98.77,122.63,5.05,-0.32918,1.700e-2,0.0252,0.0088,3900.444,2.387e-4,2.387e-4,2.387e-4,3_2:8.116e-3; 3_4:6.482e-3,3_2:305.778; 3_4:291.556
Q4,76.62,97.21,4.938,-0.33011,1.890e-2,0.027,0.0108,3900.444,2.942e-4,2.942e-4,2.942e-4,4_5:9.018e-3; 4_11:1.157e-2; 4_3:6.482e-3,4_5:305.778; 4_11:412.444; 4_3:327.111
Q5,75.76,108.11,5.01,-0.33062,3.510e-2,0.0546,0.0156,3900.444,4.031e-4,4.031e-4,4.031e-4,5_4:9.018e-3; 5_6:2.187e-2,5_4:270.222; 5_6:362.667
Q6,84.02,47.71,5.133,-0.32822,3.900e-2,0.0584,0.0196,3900.444,6.092e-4,6.092e-4,6.092e-4,6_7:1.085e-2; 6_5:2.187e-2,6_7:384; 6_5:327.111
Q7,64.84,87.73,4.975,-0.33103,2.740e-2,0.0468,0.008,3900.444,3.744e-4,3.744e-4,3.744e-4,7_8:9.837e-3; 7_6:1.085e-2,7_8:483.556; 7_6:348.444
Q8,55.16,69.79,5.164,-0.32775,1.240e-2,0.0174,0.0074,3900.444,2.813e-4,2.813e-4,2.813e-4,8_7:9.837e-3; 8_12:1.031e-2; 8_9:1.032e-2,8_7:448; 8_12:405.333; 8_9:504.889
Q9,49.06,20.1,5.305,-0.3253,3.930e-2,0.0462,0.0324,3900.444,3.668e-4,3.668e-4,3.668e-4,9_8:1.032e-2,9_8:469.333
Q10,81.67,108.95,5.065,-0.3294,1.470e-2,0.0226,0.0068,3900.444,2.860e-4,2.860e-4,2.860e-4,10_0:5.539e-3; 10_13:9.019e-3,10_0:277.333; 10_13:334.222
Q11,56.04,76.36,5.085,-0.32746,2.280e-2,0.0338,0.0118,3900.444,5.146e-4,5.146e-4,5.146e-4,11_4:1.157e-2; 11_17:1.539e-2,11_4:376.889; 11_17:554.667
