Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,87.66,113.91,5.269,-0.31835,6.800e-3,0.0094,0.0042,732.444,2.442e-4,2.442e-4,2.442e-4,0_1:3.602e-2,0_1:554.667
Q1,94.52,113.45,5.036,-0.34229,1.150e-2,0.0184,0.0046,732.444,4.336e-4,4.336e-4,4.336e-4,1_0:3.602e-2; 1_4:1.370e-2; 1_2:1.409e-2,1_0:533.333; 1_4:362.667; 1_2:320
Q2,124.16,69.5,4.911,-0.34404,9.700e-3,0.013,0.0064,732.444,1.419e-4,1.419e-4,1.419e-4,2_3:1.041e-2; 2_1:1.409e-2,2_3:220.444; 2_1:341.333
Q3,123.81,152.68,5.118,-0.34182,9.900e-3,0.0112,0.0086,732.444,3.821e-4,3.821e-4,3.821e-4,3_2:1.041e-2; 3_5:5.835e-3,3_2:199.111; 3_5:170.667
Q4,74.48,37.46,5.186,-0.34058,1.280e-2,0.0158,0.0098,732.444,1.451e-4,1.451e-4,1.451e-4,4_7:1.177e-2; 4_1:1.370e-2,4_7:263.111; 4_1:384
Q5,106.43,68.13,5.046,-0.34305,9.600e-3,0.0108,0.0084,732.444,2.776e-4,2.776e-4,2.776e-4,5_8:4.816e-3; 5_3:5.835e-3,5_8:174.222; 5_3:213.333
Q6,101.13,45.89,5.1,-0.34121,1.020e-2,0.0136,0.0068,732.444,6.633e-4,6.633e-4,6.633e-4,6_7:1.423e-2,6_7:256
Q7,60.31,102.32,5.048,-0.34211,1.170e-2,0.0166,0.0068,732.444,1.414e-3,1.414e-3,1.414e-3,7_10:1.532e-2; 7_4:1.177e-2; 7_6:1.423e-2,7_10:440.889; 7_4:284.444; 7_6:298.667
Q8,40.8,52.3,4.97,-0.34538,1.290e-2,0.0168,0.009,732.444,2.867e-4,2.867e-4,2.867e-4,8_11:1.000e-2; 8_9:8.821e-3; 8_5:4.816e-3,8_11:405.333; 8_9:256; 8_5:216.889
Q9,64.1,40.66,5.228,-0.33846,3.860e-2,0.0288,0.0484,732.444,2.016e-4,2.016e-4,2.016e-4,9_8:8.821e-3,9_8:234.667
Q10,97.46,19.46,5.233,-0.33983,8.400e-3,0.0124,0.0044,732.444,2.387e-4,2.387e-4,2.387e-4,10_7:1.532e-2; 10_12:7.243e-3,10_7:462.222; 10_12:224
Q11,82.29,131.62,5.133,-0.34157,7.200e-3,0.0112,0.0032,732.444,2.502e-4,2.502e-4,2.502e-4,11_8:1.000e-2; 11_14:1.222e-2,11_8:426.667; 11_14:188.444
Q12,136.3,174.75,5.115,-0.3426,9.100e-3,0.0136,0.0046,732.444,2.493e-4,2.493e-4,2.493e-4,12_13:1.848e-2; 12_15:1.125e-2; 12_10:7.243e-3,12_13:391.111; 12_15:512; 12_10:266.667
Q13,111.56,166.35,5.281,-0.33876,9.200e-3,0.0114,0.007,732.444,4.303e-4,4.303e-4,4.303e-4,13_12:1.848e-2; 13_14:6.081e-3,13_12:412.444; 13_14:220.444
Q14,83.08,171.32,5.044,-0.34342,9.300e-3,0.013,0.0056,732.444,2.128e-4,2.128e-4,2.128e-4,14_16:5.869e-3; 14_13:6.081e-3; 14_11:1.222e-2,14_16:245.333; 14_13:263.111; 14_11:231.111
Q15,128.92,161.55,4.963,-0.34333,7.600e-3,0.0098,0.0054,732.444,1.181e-4,1.181e-4,1.181e-4,15_12:1.125e-2; 15_18:6.031e-3,15_12:490.667; 15_18:277.333
Q16,87.42,130.64,5.277,-0.33816,2.800e-2,0.0114,0.0446,732.444,3.254e-4,3.254e-4,3.254e-4,16_14:5.869e-3; 16_19:8.321e-3,16_14:202.667; 16_19:270.222
Q17,95.8,134.98,5.262,-0.33792,1.040e-2,0.015,0.0058,732.444,9.583e-4,9.583e-4,9.583e-4,17_18:1.400e-2,17_18:248.889
Q18,41.28,66.19,5.186,-0.34062,2.540e-2,0.019,0.0318,732.444,2.285e-4,2.285e-4,2.285e-4,18_17:1.400e-2; 18_15:6.031e-3; 18_21:7.330e-3,18_17:270.222; 18_15:234.667; 18_21:316.444
Q19,123.08,163.07,4.978,-0.343,2.600e-2,0.0346,0.0174,732.444,1.207e-4,1.207e-4,1.207e-4,19_20:6.532e-3; 19_22:4.725e-3; 19_16:8.321e-3,19_20:426.667; 19_22:270.222; 19_16:312.889
Q20,77.48,14.74,5.197,-0.33914,9.400e-3,0.0146,0.0042,732.444,7.709e-4,7.709e-4,7.709e-4,20_19:6.532e-3,20_19:405.333
Q21,99.3,106.81,5.284,-0.33719,1.600e-2,0.0118,0.0202,732.444,1.615e-4,1.615e-4,1.615e-4,21_23:7.963e-3; 21_18:7.330e-3,21_23:316.444; 21_18:273.778
Q22,74.41,94.1,5.199,-0.33919,6.900e-3,0.0076,0.0062,732.444,1.739e-4,1.739e-4,1.739e-4,22_19:4.725e-3; 22_25:5.678e-3,22_19:227.556; 22_25:184.889
Q23,81.07,73.75,5.102,-0.34062,9.100e-3,0.0116,0.0066,732.444,2.491e-4,2.491e-4,2.491e-4,23_21:7.963e-3; 23_24:5.838e-3,23_21:359.111; 23_24:209.778
Q24,58.22,59.15,5.177,-0.33951,1.230e-2,0.0162,0.0084,732.444,1.889e-4,1.889e-4,1.889e-4,24_25:6.414e-3; 24_23:5.838e-3,24_25:263.111; 24_23:167.111
Q25,53.86,140.81,4.954,-0.34399,6.200e-3,0.0084,0.004,732.444,1.860e-4,1.860e-4,1.860e-4,25_24:6.414e-3; 25_26:7.411e-3; 25_22:5.678e-3,25_24:305.778; 25_26:248.889; 25_22:227.556
Q26,62.36,25.71,5.192,-0.33899,1.120e-2,0.0124,0.01,732.444,2.009e-4,2.009e-4,2.009e-4,26_25:7.411e-3,26_25:206.222
